environment_key,ceiling_rate,sample_size,rank
Dome_Away_Prime_Late,0.387,31,1
Dome_Home_Prime_Mid,0.353,85,2
Dome_Away_Prime_Early,0.339,56,3
Dome_Home_Day_Early,0.329,155,4
Outdoor_Home_Prime_Early,0.309,97,5
Dome_Home_Day_Mid,0.295,308,6
Outdoor_Away_Prime_Late,0.283,60,7
Dome_Home_Prime_Late,0.281,32,8
Outdoor_Away_Day_Mid,0.266,586,9
Outdoor_Away_Prime_Mid,0.261,157,10
Dome_Away_Day_Mid,0.257,307,11
Outdoor_Away_Prime_Early,0.250,84,12
Dome_Away_Day_Late,0.243,111,13
Outdoor_Home_Day_Late,0.243,251,14
Outdoor_Away_Day_Late,0.234,252,15
Dome_Home_Day_Late,0.234,107,16
Outdoor_Home_Day_Mid,0.231,594,17
Outdoor_Home_Day_Early,0.228,355,18
Outdoor_Home_Prime_Mid,0.225,160,19
Dome_Home_Prime_Early,0.224,58,20
Dome_Away_Day_Early,0.216,162,21
Outdoor_Away_Day_Early,0.211,322,22
Outdoor_Home_Prime_Late,0.200,65,23
Dome_Away_Prime_Mid,0.183,93,24
